"","open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume","symbol"
"93",2021-06-01 17:21:00,36132.27,36132.28,36064.81,36080.93,24.832789,2021-06-01 17:21:59,896241.59730237,667,9.421699,340124.33199657,"BTCUSDT"
"94",2021-06-01 17:22:00,36080.93,36133.38,36063.79,36079.99,19.523792,2021-06-01 17:22:59,704468.40819365,727,7.384745,266456.73234754,"BTCUSDT"
"95",2021-06-01 17:23:00,36079.99,36119,36079.99,36099.03,16.427802,2021-06-01 17:23:59,593006.03916063,497,9.240149,333558.7689491,"BTCUSDT"
"96",2021-06-01 17:24:00,36099.03,36110.81,36058.32,36065.13,17.841637,2021-06-01 17:24:59,643805.01862452,553,6.700488,241806.33588861,"BTCUSDT"
"97",2021-06-01 17:25:00,36065.13,36081.13,36035.97,36043.83,32.477005,2021-06-01 17:25:59,1170930.82609007,743,20.265822,730637.45818772,"BTCUSDT"
"98",2021-06-01 17:26:00,36043.81,36109.03,36043.81,36073.23,22.461072,2021-06-01 17:26:59,810249.77837166,625,14.61,526921.13727443,"BTCUSDT"
"99",2021-06-01 17:27:00,36078.69,36098.38,36043.83,36050.92,16.822452,2021-06-01 17:27:59,606761.81523701,615,5.612546,202460.23886752,"BTCUSDT"
"100",2021-06-01 17:28:00,36050.92,36094.69,36050.91,36094.69,13.832013,2021-06-01 17:28:59,498939.00449369,457,10.013758,361193.10565191,"BTCUSDT"
"101",2021-06-01 17:29:00,36094.69,36094.69,36050.01,36075.21,18.009044,2021-06-01 17:29:59,649592.96430513,513,8.391844,302681.61829458,"BTCUSDT"
"102",2021-06-01 17:30:00,36075.21,36106.48,36067,36082.26,18.647589,2021-06-01 17:30:59,672958.60988993,598,9.203164,332118.55596743,"BTCUSDT"
"103",2021-06-01 17:31:00,36082.26,36181.3,36082.25,36177.9,53.844126,2021-06-01 17:31:59,1945060.92075549,1025,41.423467,1496425.26145244,"BTCUSDT"
"104",2021-06-01 17:32:00,36177.91,36229.49,36157.41,36175.91,45.282186,2021-06-01 17:32:59,1638864.27173922,1297,22.039502,797567.18711721,"BTCUSDT"
"105",2021-06-01 17:33:00,36175.92,36190.46,36132.71,36140.23,21.599747,2021-06-01 17:33:59,780898.10037276,591,11.940889,431636.54159707,"BTCUSDT"
"106",2021-06-01 17:34:00,36140.27,36179.38,36124.59,36175.91,14.130842,2021-06-01 17:34:59,510787.38735081,576,8.320884,300770.43714396,"BTCUSDT"
"107",2021-06-01 17:35:00,36175.92,36178.54,36131.74,36147.01,11.269382,2021-06-01 17:35:59,407370.45227828,470,5.284665,191031.43919188,"BTCUSDT"
"108",2021-06-01 17:36:00,36147.01,36147.01,36118.6,36137.59,21.109325,2021-06-01 17:36:59,762684.99367272,672,11.720866,423467.61223717,"BTCUSDT"
"109",2021-06-01 17:37:00,36137.6,36220,36137.59,36214.11,33.955623,2021-06-01 17:37:59,1228836.91295604,913,21.740033,786713.34926403,"BTCUSDT"
"110",2021-06-01 17:38:00,36214.18,36214.18,36162.58,36190.61,20.787196,2021-06-01 17:38:59,752224.03086029,550,8.657517,313297.05277246,"BTCUSDT"
"111",2021-06-01 17:39:00,36190.61,36237.64,36180.65,36232.27,16.899751,2021-06-01 17:39:59,611999.37784473,642,10.097509,365711.83216886,"BTCUSDT"
"112",2021-06-01 17:40:00,36235.4,36276.91,36193.06,36258.9,39.757875,2021-06-01 17:40:59,1441052.6678409,1149,26.860311,973652.75858509,"BTCUSDT"
"113",2021-06-01 17:41:00,36253.66,36268.62,36234.45,36267.82,47.721971,2021-06-01 17:41:59,1729858.34584006,655,31.605375,1145684.64775642,"BTCUSDT"
"114",2021-06-01 17:42:00,36267.81,36329.96,36265.99,36290.33,48.633667,2021-06-01 17:42:59,1765243.3741193,1304,30.467302,1105893.73677337,"BTCUSDT"
"115",2021-06-01 17:43:00,36290.33,36290.33,36250.62,36268.05,31.067717,2021-06-01 17:43:59,1126681.82781633,598,8.824588,320040.46694796,"BTCUSDT"
"116",2021-06-01 17:44:00,36268.05,36268.05,36205.04,36231.68,35.455239,2021-06-01 17:44:59,1284806.54662093,697,11.80451,427690.14119462,"BTCUSDT"
"117",2021-06-01 17:45:00,36230.62,36266.62,36230.62,36233.02,15.726305,2021-06-01 17:45:59,570070.82711904,489,7.892316,286089.75554489,"BTCUSDT"
"118",2021-06-01 17:46:00,36233.02,36233.03,36183.68,36192.38,26.714066,2021-06-01 17:46:59,967199.67826844,702,10.561947,382392.46192274,"BTCUSDT"
"119",2021-06-01 17:47:00,36192.72,36214,36163.38,36188.97,30.261106,2021-06-01 17:47:59,1095051.93408335,821,14.284669,516952.53615382,"BTCUSDT"
"120",2021-06-01 17:48:00,36188.96,36230.09,36183.01,36221.36,27.918116,2021-06-01 17:48:59,1010810.01391418,734,15.082465,546073.6101665,"BTCUSDT"
"121",2021-06-01 17:49:00,36221.29,36227.64,36165.85,36173.47,27.689107,2021-06-01 17:49:59,1002027.25352345,737,13.838167,500735.17768057,"BTCUSDT"
"122",2021-06-01 17:50:00,36173.47,36197.71,36170.45,36181.79,20.956211,2021-06-01 17:50:59,758314.46209196,527,9.89912,358202.05153407,"BTCUSDT"
"123",2021-06-01 17:51:00,36181.79,36194.43,36155.83,36180.77,18.787569,2021-06-01 17:51:59,679760.74638337,507,8.730051,315867.17306994,"BTCUSDT"
"124",2021-06-01 17:52:00,36180.76,36194.43,36147.28,36162.02,25.321737,2021-06-01 17:52:59,915890.20257324,621,12.980048,469582.25667104,"BTCUSDT"
"125",2021-06-01 17:53:00,36162.03,36180.55,36143.51,36155.75,35.093924,2021-06-01 17:53:59,1268773.06657958,493,28.529564,1031405.26996054,"BTCUSDT"
"126",2021-06-01 17:54:00,36155.75,36175.88,36150,36170.01,16.978337,2021-06-01 17:54:59,613996.16546933,554,9.9782,360835.7344658,"BTCUSDT"
"127",2021-06-01 17:55:00,36170,36198.05,36141.9,36197.31,23.230129,2021-06-01 17:55:59,840243.15269462,648,12.199889,441290.87985384,"BTCUSDT"
"128",2021-06-01 17:56:00,36197.31,36245.36,36197.31,36204.81,52.642938,2021-06-01 17:56:59,1906456.74253088,1029,27.629339,1000548.29641389,"BTCUSDT"
"129",2021-06-01 17:57:00,36204.82,36219.8,36168.3,36208.99,27.396529,2021-06-01 17:57:59,991575.77647436,704,16.822497,608824.54571328,"BTCUSDT"
"130",2021-06-01 17:58:00,36208.99,36326.99,36205.53,36316.49,38.125545,2021-06-01 17:58:59,1382969.97883306,1001,23.877249,865994.0625335,"BTCUSDT"
"131",2021-06-01 17:59:00,36316.44,36339.6,36295.24,36327.05,63.254911,2021-06-01 17:59:59,2297334.20808219,949,46.038112,1672066.00786823,"BTCUSDT"
"132",2021-06-01 18:00:00,36327.05,36337.52,36251.3,36295.38,25.162127,2021-06-01 18:00:59,913280.16166983,826,8.228561,298625.55989897,"BTCUSDT"
"133",2021-06-01 18:01:00,36296.78,36318.44,36248.25,36311.31,16.878983,2021-06-01 18:01:59,612313.94225239,655,8.695268,315452.6091244,"BTCUSDT"
"134",2021-06-01 18:02:00,36311.32,36313.67,36274.99,36277.9,17.857823,2021-06-01 18:02:59,648016.29963917,580,8.220583,298295.23306089,"BTCUSDT"
"135",2021-06-01 18:03:00,36277.91,36284.17,36244.16,36277.12,23.22507,2021-06-01 18:03:59,842266.27162471,639,8.557016,310315.20742954,"BTCUSDT"
"136",2021-06-01 18:04:00,36277.35,36317.36,36255.05,36310.11,14.181391,2021-06-01 18:04:59,514496.94003679,512,8.903075,323035.19301835,"BTCUSDT"
"137",2021-06-01 18:05:00,36310.11,36349.88,36286.73,36327,28.6874,2021-06-01 18:05:59,1041914.52593853,862,17.010223,617791.70218693,"BTCUSDT"
"138",2021-06-01 18:06:00,36327,36332.48,36310.61,36317.82,15.03608,2021-06-01 18:06:59,546124.60643561,543,8.317768,302111.3162311,"BTCUSDT"
"139",2021-06-01 18:07:00,36314.41,36317.83,36280.3,36292.95,20.194403,2021-06-01 18:07:59,733054.09935294,585,13.397095,486317.58732478,"BTCUSDT"
"140",2021-06-01 18:08:00,36292.94,36319.57,36292.94,36305.08,27.472738,2021-06-01 18:08:59,997358.34171388,520,17.997012,653360.43858252,"BTCUSDT"
"141",2021-06-01 18:09:00,36305.08,36315.04,36300,36300,81.77487,2021-06-01 18:09:59,2968502.41136076,526,11.040509,400797.18852179,"BTCUSDT"
"142",2021-06-01 18:10:00,36300,36342.66,36300,36330.38,35.630521,2021-06-01 18:10:59,1294316.65797381,653,19.774555,718270.56327102,"BTCUSDT"
